time,strain
2.806611199,1.39E-06
2.808564443,1.27E-06
2.810517687,1.09E-06
2.812470931,5.85E-07
2.814424175,4.47E-07
2.816377419,6.70E-07
2.818330663,8.31E-07
2.820283907,9.79E-07
2.822237151,1.54E-06
2.824190395,1.72E-06
2.826143639,1.49E-06
2.828096883,1.24E-06
2.830050127,1.08E-06
2.832003372,5.65E-07
2.833956616,3.64E-07
2.83590986,5.72E-07
2.837863104,7.85E-07
2.839816348,8.53E-07
2.841769592,1.42E-06
2.843722836,1.61E-06
2.84567608,1.43E-06
2.847629324,1.35E-06
2.849582568,1.17E-06
2.851535812,8.71E-07
2.853489056,3.38E-07
2.8554423,6.06E-07
2.857395544,7.37E-07
2.859348788,9.16E-07
2.861302032,1.24E-06
2.863255276,1.85E-06
2.86520852,1.55E-06
2.867161764,1.52E-06
2.869115009,1.25E-06
2.871068253,1.13E-06
2.873021497,4.76E-07
2.874974741,6.15E-07
2.876927985,7.05E-07
2.878881229,1.06E-06
2.880834473,1.14E-06
2.882787717,1.85E-06
2.884740961,1.64E-06
2.886694205,1.54E-06
2.888647449,1.33E-06
2.890600693,1.23E-06
2.892553937,6.04E-07
2.894507181,6.45E-07
2.896460425,7.57E-07
2.898413669,1.02E-06
2.900366913,1.12E-06
2.902320157,1.72E-06
2.904273401,1.92E-06
2.906226646,1.68E-06
2.90817989,1.56E-06
2.910133134,1.40E-06
2.912086378,1.02E-06
2.914039622,6.86E-07
2.915992866,8.77E-07
2.91794611,1.01E-06
2.919899354,1.28E-06
2.921852598,1.60E-06
2.923805842,2.09E-06
2.925759086,1.84E-06
2.92771233,1.68E-06
2.929665574,1.46E-06
2.931618818,1.10E-06
2.933572062,6.51E-07
2.935525306,9.50E-07
2.93747855,9.88E-07
2.939431794,1.28E-06
2.941385038,1.62E-06
2.943338283,2.12E-06
2.945291527,1.80E-06
2.947244771,1.66E-06
2.949198015,1.50E-06
2.951151259,1.25E-06
2.953104503,7.86E-07
2.955057747,8.63E-07
2.957010991,1.04E-06
2.958964235,1.20E-06
2.960917479,1.38E-06
2.962870723,1.95E-06
2.964823967,1.86E-06
2.966777211,1.71E-06
2.968730455,1.41E-06
2.970683699,1.36E-06
2.972636943,7.28E-07
2.974590187,6.44E-07
2.976543431,7.29E-07
2.978496675,9.83E-07
2.98044992,1.19E-06
2.982403164,1.76E-06
2.984356408,1.92E-06
2.986309652,1.69E-06
2.988262896,1.44E-06
2.99021614,1.29E-06
2.992169384,6.61E-07
2.994122628,5.36E-07
2.996075872,7.11E-07
2.998029116,1.03E-06
2.99998236,1.12E-06
3.001935604,1.68E-06
3.003888848,1.94E-06
3.005842092,1.62E-06
3.007795336,1.47E-06
3.00974858,1.32E-06
3.011701824,9.66E-07
3.013655068,5.24E-07
3.015608312,6.39E-07
3.017561557,9.04E-07
3.019514801,1.06E-06
3.021468045,1.43E-06
3.023421289,1.98E-06
3.025374533,1.71E-06
3.027327777,1.70E-06
3.029281021,1.39E-06
3.031234265,1.19E-06
3.033187509,4.22E-07
3.035140753,7.21E-07
3.037093997,6.79E-07
3.039047241,1.07E-06
3.041000485,1.30E-06
3.042953729,2.04E-06
3.044906973,1.92E-06
3.046860217,1.79E-06
3.048813461,1.55E-06
3.050766705,1.42E-06
3.052719949,5.89E-07
3.054673194,6.31E-07
3.056626438,9.06E-07
3.058579682,1.13E-06
3.060532926,1.19E-06
3.06248617,1.90E-06
3.064439414,1.98E-06
3.066392658,1.71E-06
3.068345902,1.49E-06
3.070299146,1.33E-06
3.07225239,7.55E-07
3.074205634,4.98E-07
3.076158878,8.02E-07
3.078112122,9.27E-07
3.080065366,1.06E-06
3.08201861,1.54E-06
3.083971854,1.91E-06
3.085925098,1.69E-06
3.087878342,1.55E-06
3.089831586,1.38E-06
3.091784831,1.03E-06
3.093738075,4.25E-07
3.095691319,7.96E-07
3.097644563,1.05E-06
3.099597807,1.10E-06
3.101551051,1.44E-06
3.103504295,2.00E-06
3.105457539,1.62E-06
3.107410783,1.56E-06
3.109364027,1.33E-06
3.111317271,1.17E-06
3.113270515,4.14E-07
3.115223759,7.29E-07
3.117177003,8.37E-07
3.119130247,9.78E-07
3.121083491,1.20E-06
3.123036735,1.83E-06
3.124989979,1.67E-06
3.126943223,1.49E-06
3.128896468,1.28E-06
3.130849712,1.16E-06
3.132802956,4.86E-07
3.1347562,5.25E-07
3.136709444,8.16E-07
3.138662688,1.03E-06
3.140615932,1.20E-06
3.142569176,1.77E-06
3.14452242,1.76E-06
3.146475664,1.56E-06
3.148428908,1.36E-06
3.150382152,1.32E-06
3.152335396,7.94E-07
3.15428864,5.80E-07
3.156241884,9.05E-07
3.158195128,1.09E-06
3.160148372,1.17E-06
3.162101616,1.79E-06
3.16405486,2.06E-06
3.166008105,1.74E-06
3.167961349,1.59E-06
3.169914593,1.55E-06
3.171867837,1.06E-06
3.173821081,6.92E-07
3.175774325,9.61E-07
3.177727569,1.13E-06
3.179680813,1.17E-06
3.181634057,1.73E-06
3.183587301,2.11E-06
3.185540545,1.94E-06
3.187493789,1.73E-06
3.189447033,1.60E-06
3.191400277,1.22E-06
3.193353521,8.24E-07
3.195306765,8.65E-07
3.197260009,1.15E-06
3.199213253,1.27E-06
3.201166497,1.50E-06
3.203119742,2.24E-06
3.205072986,1.89E-06
3.20702623,1.82E-06
3.208979474,1.55E-06
3.210932718,1.49E-06
3.212885962,7.27E-07
3.214839206,8.30E-07
3.21679245,1.04E-06
3.218745694,1.26E-06
3.220698938,1.29E-06
3.222652182,2.10E-06
3.224605426,1.94E-06
3.22655867,1.80E-06
3.228511914,1.57E-06
3.230465158,1.43E-06
3.232418402,6.50E-07
3.234371646,6.07E-07
3.23632489,7.61E-07
3.238278134,1.19E-06
3.240231379,1.13E-06
3.242184623,1.96E-06
3.244137867,2.10E-06
3.246091111,1.76E-06
3.248044355,1.68E-06
3.249997599,1.53E-06
3.251950843,9.56E-07
3.253904087,7.21E-07
3.255857331,9.92E-07
3.257810575,1.14E-06
3.259763819,1.31E-06
3.261717063,1.61E-06
3.263670307,2.23E-06
3.265623551,1.93E-06
3.267576795,1.84E-06
3.269530039,1.74E-06
3.271483283,1.38E-06
3.273436527,6.92E-07
3.275389771,9.71E-07
3.277343016,1.15E-06
3.27929626,1.41E-06
3.281249504,1.62E-06
3.283202748,2.41E-06
3.285155992,2.17E-06
3.287109236,2.08E-06
3.28906248,1.80E-06
3.291015724,1.62E-06
3.292968968,8.89E-07
3.294922212,1.11E-06
3.296875456,1.24E-06
3.2988287,1.49E-06
3.300781944,1.53E-06
3.302735188,2.33E-06
3.304688432,2.03E-06
3.306641676,1.90E-06
3.30859492,1.71E-06
3.310548164,1.62E-06
3.312501408,1.18E-06
3.314454653,9.78E-07
3.316407897,1.44E-06
3.318361141,1.38E-06
3.320314385,1.55E-06
3.322267629,1.92E-06
3.324220873,2.05E-06
3.326174117,1.77E-06
3.328127361,1.69E-06
3.330080605,1.53E-06
3.332033849,1.28E-06
3.333987093,7.34E-07
